feature,Fold_0_importance,Fold_1_importance,Fold_2_importance,Fold_3_importance,Fold_4_importance,Fold_5_importance,Fold_6_importance,Fold_7_importance,Fold_8_importance,Fold_9_importance,Fold_10_importance,Fold_11_importance,Fold_12_importance,Fold_13_importance,Fold_14_importance,mean_importance,std_importance,variance,cv
gradient_glszm_ZoneVariance,0.012366496,0.001541557,0.0,0.0014902828,0.0,0.0,0.0007176327,0.0,0.00067835563,0.0,0.0,0.0,0.0,0.0,0.0,0.0011196216086666667,0.003158881345623602,9.978531355728778e-06,2.8213829754370727
gradient_ngtdm_Strength,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.089418784,0.0045943954,0.0038426286,0.0135075245,0.0,0.0,0.0,0.0,0.0,0.0,0.00049584307,0.0,0.028115703,0.0,0.0,0.009331658571333334,0.023449927282800792,0.0005498990895686449,2.5129431283350305
log-sigma-1-0-mm-3D_firstorder_Minimum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016101073,0.0,0.0081593115,0.0,0.0,0.0,0.009481995,0.0,0.0012834275866666666,0.0030980090760993487,9.59766023559394e-06,2.413855762712359
log-sigma-1-0-mm-3D_firstorder_Skewness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015801066,0.0045309346,0.0020545574,0.0020692851,0.0,0.0,0.00068232558,0.0013241096522079183,1.7532663710701742e-06,1.9405833388335203
log-sigma-1-0-mm-3D_firstorder_Skewness_lag_1,0.0,0.0,0.0,0.0,0.0,0.0007443921,0.0,0.00054802035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.616083e-05,0.00023038641036965318,5.307789808301424e-08,2.673911223576342
log-sigma-1-0-mm-3D_glcm_Autocorrelation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.0,0.0,0.0,0.0,0.0,0.0036408086,0.004453701,0.0065394575,0.0,0.012592128,0.0020194051,0.022346357,0.038577255,0.008460773,0.016889952,0.00770132248,0.010997594030682472,0.00012094707446370273,1.42801370274297
log-sigma-1-0-mm-3D_gldm_DependenceEntropy_lag_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017517426,0.0,0.0,0.0,0.0,0.00016522767,0.0,0.000127798018,0.00045126151101404163,2.03636951322676e-07,3.5310525004702473
