feature,mean_importance,std_importance,n_folds_selected
feat_169,0.0,0.0,10
feat_168,0.0,0.0,10
feat_157,0.0,0.0,10
feat_221,0.0,0.0,10
feat_156,0.0,0.0,10
feat_154,0.0,0.0,10
feat_136,0.0,0.0,10
feat_225,0.0,0.0,10
feat_129,0.0,0.0,10
feat_1,0.0,0.0,10
feat_121,0.0,0.0,10
feat_255,0.0,0.0,10
